"About the data: Exported on Oct 25, 2022. Criteria: '(robot OR robots OR robotics OR vehicle OR vehicles) AND (((localize OR localization OR localizing OR localise OR localisation OR localising) AND (map OR maps OR mapping)) OR ""slam"") AND (""long term"" OR ""life long"" OR lifelong)' in title and abstract; Publication Year is 2022. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
14579,pub.1146631931,10.1364/josaa.453318,36215446,,Biomimetic navigation system using a polarization sensor and a binocular camera.,"With the vigorous development of vision techniques, simultaneous localization and mapping (SLAM) has shown the capability of navigating autonomous robots in global-navigation-satellite-system-denied environments. However, the long-term robust navigation of lightweight autonomous robots in outdoor environments with complex interferences, such as illumination change, dynamic objects, and electromagnetic interference, is still a great challenge. In this paper, a polarization sensor-aided SLAM (POL-SLAM) that can provide absolute heading constraints for pure SLAM is proposed. POL-SLAM is a lightweight, tightly coupled system consisting of a polarization sensor and binocular camera. By means of an initialization that uses a polarization sensor, an absolute heading angle for the entire map is designed. Additionally, an algorithm to eliminate mismatching points using the matching point vector is proposed. The objective function of bundle adjustment is then deduced according to the re-projection error and polarization sensor. The vehicle test shows that the yaw and trajectory accuracies of POL-SLAM are significantly improved compared to pure SLAM. The yaw and trajectory accuracies are increased by 43.1% and 36.6%, respectively. These results indicate that the proposed POL-SLAM can improve the reliability and robustness of pure SLAM and can be used in lightweight autonomous robots in outdoor environments.",,Journal of the Optical Society of America A,,Algorithms; Biomimetics; Reproducibility of Results; Robotics,2022-04-15,2022,2022-04-15,2022-05-01,39,5,847-854,Closed,Article,"Li, Jinshan; Chu, Jinkui; Zhang, Ran; Hu, Hanpei; Tong, Kun; Li, Jin","Li, Jinshan (); Chu, Jinkui (); Zhang, Ran (); Hu, Hanpei (); Tong, Kun (); Li, Jin ()",,"Li, Jinshan (); Chu, Jinkui (); Zhang, Ran (); Hu, Hanpei (); Tong, Kun (); Li, Jin ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1146631931,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 4013 Geomatic Engineering",
9742,pub.1151410342,10.1038/s41598-022-19599-2,36171213,PMC9519927,Multi-scopic neuro-cognitive adaptation for legged locomotion robots,"Dynamic locomotion is realized through a simultaneous integration of adaptability and optimality. This article proposes a neuro-cognitive model for a multi-legged locomotion robot that can seamlessly integrate multi-modal sensing, ecological perception, and cognition through the coordination of interoceptive and exteroceptive sensory information. Importantly, cognitive models can be discussed as micro-, meso-, and macro-scopic; these concepts correspond to sensing, perception, and cognition; and short-, medium-, and long-term adaptation (in terms of ecological psychology). The proposed neuro-cognitive model integrates these intelligent functions from a multi-scopic point of view. Macroscopic-level presents an attention mechanism with short-term adaptive locomotion control conducted by a lower-level sensorimotor coordination-based model. Macrosopic-level serves environmental cognitive map featuring higher-level behavior planning. Mesoscopic level shows integration between the microscopic and macroscopic approaches, enabling the model to reconstruct a map and conduct localization using bottom-up facial environmental information and top-down map information, generating intention towards the ultimate goal at the macroscopic level. The experiments demonstrated that adaptability and optimality of multi-legged locomotion could be achieved using the proposed multi-scale neuro-cognitive model, from short to long-term adaptation, with efficient computational usage. Future research directions can be implemented not only in robotics contexts but also in the context of interdisciplinary studies incorporating cognitive science and ecological psychology.",This work was partially supported by JST [Moonshot RnD][Grant Number JP- MJMS2034].,Scientific Reports,,"Adaptation, Physiological; Cognition; Computer Simulation; Locomotion; Robotics",2022-09-28,2022,2022-09-28,,12,1,16222,All OA; Gold,Article,"Saputra, Azhar Aulia; Wada, Kazuyoshi; Masuda, Shiro; Kubota, Naoyuki","Saputra, Azhar Aulia (Graduate School of Systems Design, Tokyo Metropolitan University, 191-0065, Hino, Tokyo, Japan); Wada, Kazuyoshi (Graduate School of Systems Design, Tokyo Metropolitan University, 191-0065, Hino, Tokyo, Japan); Masuda, Shiro (Graduate School of Systems Design, Tokyo Metropolitan University, 191-0065, Hino, Tokyo, Japan); Kubota, Naoyuki (Graduate School of Systems Design, Tokyo Metropolitan University, 191-0065, Hino, Tokyo, Japan)","Saputra, Azhar Aulia (Tokyo Metropolitan University)","Saputra, Azhar Aulia (Tokyo Metropolitan University); Wada, Kazuyoshi (Tokyo Metropolitan University); Masuda, Shiro (Tokyo Metropolitan University); Kubota, Naoyuki (Tokyo Metropolitan University)",0,0,,,https://www.nature.com/articles/s41598-022-19599-2.pdf,https://app.dimensions.ai/details/publication/pub.1151410342,46 Information and Computing Sciences; 4602 Artificial Intelligence,
2963,pub.1145304056,10.1631/fitee.2000358,,,Novel robust simultaneous localization and mapping for long-term autonomous robots,"A fundamental task for mobile robots is simultaneous localization and mapping (SLAM). Moreover, long-term robustness is an important property for SLAM. When vehicles or robots steer fast or steer in certain scenarios, such as low-texture environments, long corridors, tunnels, or other duplicated structural environments, most SLAM systems might fail. In this paper, we propose a novel robust visual inertial light detection and ranging (LiDaR) navigation (VILN) SLAM system, including stereo visual-inertial LiDaR odometry and visual-LiDaR loop closure. The proposed VILN SLAM system can perform well with low drift after long-term experiments, even when the LiDaR or visual measurements are degraded occasionally in complex scenes. Extensive experimental results show that the robustness has been greatly improved in various scenarios compared to state-of-the-art SLAM systems.",,Frontiers of Information Technology & Electronic Engineering,,,2022-02-05,2022,2022-02-05,2022-02,23,2,234-245,Closed,Article,"Wei, Wei; Zhu, Xiaorui; Wang, Yi","Wei, Wei (School of Mechanical Engineering and Automation, Harbin Institute of Technology, 518055, Shenzhen, China); Zhu, Xiaorui (School of Mechanical Engineering and Automation, Harbin Institute of Technology, 518055, Shenzhen, China; Zhuhai Big Data Research Institute, 519000, Zhuhai, China); Wang, Yi (School of Mechanical Engineering and Automation, Harbin Institute of Technology, 518055, Shenzhen, China)","Zhu, Xiaorui (Harbin Institute of Technology; )","Wei, Wei (Harbin Institute of Technology); Zhu, Xiaorui (Harbin Institute of Technology); Wang, Yi (Harbin Institute of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1145304056,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics",
2873,pub.1144947689,10.1109/access.2022.3145978,,,Topographic SLAM Using a Single Terrain Altimeter in GNSS-Restricted Environment,"In a Global Navigation Satellite System (GNSS)-restricted area, a mobile robot navigation system exploits surrounding environment information. For an aerial or underwater vehicle, undulating terrain of a land or seabed surface is a valuable information resource that leads to the development of terrain-referenced navigation (TRN) algorithms. However, due to the vast amount of a vehicle’s activity area, surveying all the regions to obtain a high-resolution terrain map is impractical and requires simultaneous localization and mapping (SLAM) as a highly desirable capability. This paper presents a topographic SLAM algorithm using only a single terrain altimeter, which is low-cost, computationally efficient, and sufficiently stable for long-term operation. The proposed rectangular panel map structure and update method enable robust and efficient SLAM. As terrain elevation changes are inherently nonlinear, an extended Kalman filter (EKF)-based SLAM filter is adopted. The feasibility and validity of the proposed algorithm are demonstrated through simulations using terrain elevation data from a real-world undersea environment.","This work was supported by the National Research and Development Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science and ICT (MSIT) under Grant 2020M3C1C1A02086303. The authors would like to thank to Dr. Yosup Park with the Korea Institute of Ocean Science and Technology, for providing the high-resolution bathymetric data.",IEEE Access,,,2022-01-01,2022,2022-01-25,2022-01-01,10,,10806-10815,All OA; Gold,Article,"Jang, Junwoo; Kim, Jinwhan","Jang, Junwoo (Department of Mechanical Engineering, Korea Advanced Insititute of Science and Technology, Daejeon, 34141, South Korea); Kim, Jinwhan (Department of Mechanical Engineering, Korea Advanced Insititute of Science and Technology, Daejeon, 34141, South Korea)","Kim, Jinwhan ","Jang, Junwoo (); Kim, Jinwhan ()",1,1,,,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09690856.pdf,https://app.dimensions.ai/details/publication/pub.1144947689,40 Engineering; 4013 Geomatic Engineering; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
2772,pub.1151183294,10.48550/arxiv.2209.09357,,,MeSLAM: Memory Efficient SLAM based on Neural Fields,"Existing Simultaneous Localization and Mapping (SLAM) approaches are limited
in their scalability due to growing map size in long-term robot operation.
Moreover, processing such maps for localization and planning tasks leads to the
increased computational resources required onboard. To address the problem of
memory consumption in long-term operation, we develop a novel real-time SLAM
algorithm, MeSLAM, that is based on neural field implicit map representation.
It combines the proposed global mapping strategy, including neural networks
distribution and region tracking, with an external odometry system. As a
result, the algorithm is able to efficiently train multiple networks
representing different map regions and track poses accurately in large-scale
environments. Experimental results show that the accuracy of the proposed
approach is comparable to the state-of-the-art methods (on average, 6.6 cm on
TUM RGB-D sequences) and outperforms the baseline, iMAP$^*$. Moreover, the
proposed SLAM approach provides the most compact-sized maps without details
distortion (1.9 MB to store 57 m$^3$) among the state-of-the-art SLAM
approaches.",,arXiv,,,2022-09-19,2022,,,,,,All OA; Green,Preprint,"Kruzhkov, Evgenii; Savinykh, Alena; Karpyshev, Pavel; Kurenkov, Mikhail; Yudin, Evgeny; Potapov, Andrei; Tsetserukou, Dzmitry","Kruzhkov, Evgenii (); Savinykh, Alena (); Karpyshev, Pavel (); Kurenkov, Mikhail (); Yudin, Evgeny (); Potapov, Andrei (); Tsetserukou, Dzmitry ()",,"Kruzhkov, Evgenii (); Savinykh, Alena (); Karpyshev, Pavel (); Kurenkov, Mikhail (); Yudin, Evgeny (); Potapov, Andrei (); Tsetserukou, Dzmitry ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151183294,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science; 4611 Machine Learning,
2603,pub.1151260752,10.48550/arxiv.2209.10710,,,Visual Localization and Mapping in Dynamic and Changing Environments,"The real-world deployment of fully autonomous mobile robots depends on a
robust SLAM (Simultaneous Localization and Mapping) system, capable of handling
dynamic environments, where objects are moving in front of the robot, and
changing environments, where objects are moved or replaced after the robot has
already mapped the scene. This paper presents Changing-SLAM, a method for
robust Visual SLAM in both dynamic and changing environments. This is achieved
by using a Bayesian filter combined with a long-term data association
algorithm. Also, it employs an efficient algorithm for dynamic keypoints
filtering based on object detection that correctly identify features inside the
bounding box that are not dynamic, preventing a depletion of features that
could cause lost tracks. Furthermore, a new dataset was developed with RGB-D
data especially designed for the evaluation of changing environments on an
object level, called PUC-USP dataset. Six sequences were created using a mobile
robot, an RGB-D camera and a motion capture system. The sequences were designed
to capture different scenarios that could lead to a tracking failure or a map
corruption. To the best of our knowledge, Changing-SLAM is the first Visual
SLAM system that is robust to both dynamic and changing environments, not
assuming a given camera pose or a known map, being also able to operate in real
time. The proposed method was evaluated using benchmark datasets and compared
with other state-of-the-art methods, proving to be highly accurate.",,arXiv,,,2022-09-21,2022,,,,,,All OA; Green,Preprint,"Soares, João Carlos Virgolino; Medeiros, Vivian Suzano; Abati, Gabriel Fischer; Becker, Marcelo; Caurin, Glauco; Gattass, Marcelo; Meggiolaro, Marco Antonio","Soares, João Carlos Virgolino (); Medeiros, Vivian Suzano (); Abati, Gabriel Fischer (); Becker, Marcelo (); Caurin, Glauco (); Gattass, Marcelo (); Meggiolaro, Marco Antonio ()",,"Soares, João Carlos Virgolino (); Medeiros, Vivian Suzano (); Abati, Gabriel Fischer (); Becker, Marcelo (); Caurin, Glauco (); Gattass, Marcelo (); Meggiolaro, Marco Antonio ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151260752,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science",
2490,pub.1145523295,10.1002/rob.22062,,,DE‐SLAM: SLAM for highly dynamic environment,"Simultaneous localization and mapping (SLAM) is crucial for autonomous mobile robots. Most of the current SLAM systems are based on an assumption: the environment is static. However, the real environment is full of dynamic elements, such as pedestrians or vehicles, as well as changes in illumination and appearance over time. In this paper, DE‐SLAM, a visual SLAM system that can deal with short‐term and long‐term dynamic elements at the same time is proposed. A novel dynamic detection and tracking module that utilizes both semantic and metric information is proposed, and the localization accuracy is highly improved by eliminating features falling on the dynamic objects. A unified loop detection, loop check and global optimization module is used to perform loop closure. Experimental results on datasets and real environments show that DE‐SLAM outperforms other state‐of‐the‐art SLAM systems in dynamic environments.",This study was supported by the National Key R&amp;D Program of China under grant 2018YFB1305500 and the Natural Science Foundation of China under Grant U1813219.,Journal of Field Robotics,,,2022-02-14,2022,2022-02-14,2022-08,39,5,528-542,Closed,Article,"Xing, Zhiwei; Zhu, Xiaorui; Dong, Dingcheng","Xing, Zhiwei (School of Mechanical Engineering and Automation, Harbin Institute of Technology, Shenzhen, Shenzhen, China); Zhu, Xiaorui (School of Mechanical Engineering and Automation, Harbin Institute of Technology, Shenzhen, Shenzhen, China); Dong, Dingcheng (School of Mechanical Engineering and Automation, Harbin Institute of Technology, Shenzhen, Shenzhen, China)","Zhu, Xiaorui (Harbin Institute of Technology)","Xing, Zhiwei (Harbin Institute of Technology); Zhu, Xiaorui (Harbin Institute of Technology); Dong, Dingcheng (Harbin Institute of Technology)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1145523295,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
2380,pub.1150148645,10.55417/fr.2022053,,,GPGM-SLAM: a Robust SLAM System for Unstructured Planetary Environments with Gaussian Process Gradient Maps,"Simultaneous Localization and Mapping (SLAM) techniques play a key role towards long-term autonomy of mobile robots due to the ability to correct localization errors and produce consistent maps of an environment over time. Contrarily to urban or man-made environments, where the presence of unique objects and structures offer unique cues for localization, the apperance of unstructured natural environments is often ambiguous and self-similar, hindering the performances of loop closure detection. In this paper, we present an approach to improve the robustness of place recognition in the context of a submap-based stereo SLAM based on Gaussian Process Gradient Maps (GPGMaps). GPGMaps embed a continuous representation of the gradients of the local terrain elevation by means of Gaussian Process regression and Structured Kernel Interpolation, given solely noisy elevation measurements. We leverage the imagelike structure of GPGMaps to detect loop closures using traditional visual features and Bag of Words. GPGMap matching is performed as an SE(2) alignment to establish loop closure constraints within a pose graph. We evaluate the proposed pipeline on a variety of datasets recorded on Mt. Etna, Sicily and in the Morocco desert, respectively Moon- and Mars-like environments, and we compare the localization performances with state-of-the-art approaches for visual SLAM and visual loop closure detection.",,Field Robotics,,,2022-03-10,2022,2022-03-10,,2,1,1721-1753,All OA; Green,Article,"Giubilato, Riccardo; Le Gentil, Cedric; Vayugundla, Mallikarjuna; Schuster, Martin; Vidal-Calleja, Teresa; Triebel, Rudolph","Giubilato, Riccardo (); Le Gentil, Cedric (); Vayugundla, Mallikarjuna (); Schuster, Martin (); Vidal-Calleja, Teresa (); Triebel, Rudolph ()",,"Giubilato, Riccardo (); Le Gentil, Cedric (); Vayugundla, Mallikarjuna (); Schuster, Martin (); Vidal-Calleja, Teresa (); Triebel, Rudolph ()",1,1,,,https://elib.dlr.de/188132/1/Vol2_53.pdf,https://app.dimensions.ai/details/publication/pub.1150148645,46 Information and Computing Sciences; 4605 Data Management and Data Science,
2379,pub.1151600830,,,,Long-Term Localization using Semantic Cues in Floor Plan Maps,"Lifelong localization in a given map is an essential capability for
autonomous service robots. In this paper, we consider the task of long-term
localization in a changing indoor environment given sparse CAD floor plans. The
commonly used pre-built maps from the robot sensors may increase the cost and
time of deployment. Furthermore, their detailed nature requires that they are
updated when significant changes occur. We address the difficulty of
localization when the correspondence between the map and the observations is
low due to the sparsity of the CAD map and the changing environment. To
overcome both challenges, we propose to exploit semantic cues that are commonly
present in human-oriented spaces. These semantic cues can be detected using RGB
cameras by utilizing object detection, and are matched against an
easy-to-update, abstract semantic map. The semantic information is integrated
into a Monte Carlo localization framework using a particle filter that operates
on 2D LiDAR scans and camera data. We provide a long-term localization solution
and a semantic map format, for environments that undergo changes to their
interior structure and detailed geometric maps are not available. We evaluate
our localization framework on multiple challenging indoor scenarios in an
office environment, taken weeks apart. The experiments suggest that our
approach is robust to structural changes and can run on an onboard computer. We
released the open source implementation of our approach written in C++ together
with a ROS wrapper.",,arXiv,,,2022-10-04,2022,,,,,,All OA; Green,Preprint,"Zimmerman, Nicky; Guadagnino, Tiziano; Chen, Xieyuanli; Behley, Jens; Stachniss, Cyrill","Zimmerman, Nicky (); Guadagnino, Tiziano (); Chen, Xieyuanli (); Behley, Jens (); Stachniss, Cyrill ()",,"Zimmerman, Nicky (); Guadagnino, Tiziano (); Chen, Xieyuanli (); Behley, Jens (); Stachniss, Cyrill ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151600830,46 Information and Computing Sciences; 4605 Data Management and Data Science,
2379,pub.1149417001,10.1109/tim.2022.3190031,,,A Novel Lidar-Assisted Monocular Visual SLAM Framework for Mobile Robots in Outdoor Environments,"In this article, a novel 3-D lidar-assisted monocular visual simultaneous localization and mapping (LAMV-SLAM) framework is proposed for mobile robots in outdoor environments. LAMV-SLAM can run in real time without a GPU and build a dense map with real scale. An online photometric calibration thread is integrated into LAMV-SLAM to eliminate the photometric disturbances in images. The tracking thread combines the lidar and vision data to estimate and refine the frame-to-frame transformation. In this thread, the depth fusion algorithm is proposed to provide accurate depth values for the extracted visual features by combining the lidar points, and a novel two-stage optimization method is proposed to utilize the fused lidar–vision data to estimate the camera transformation with the real scale. A parallel mapping thread generates new map points based on depth filter and lidar–vision data fusion. A loop closing thread further reduces the accumulative errors of the system. To verify the accuracy and efficiency of the system, we evaluated the proposed pipeline on the KITTI odometry benchmark, and our LAMV-SLAM achieves a 0.81% of relative position drift while running at over $3\times $ real-time speed. To verify the robustness of the system in challenging environments, experiments were carried out on the North Campus Long-Term (NCLT) and NuScenes datasets. Moreover, real-world experiments were applied to our mobile robot platform to show the practicability and validity of the proposed approach.",,IEEE Transactions on Instrumentation and Measurement,,,2022-01-01,2022,2022-07-12,2022-01-01,71,,1-11,Closed,Article,"Yin, Jun; Luo, Dongting; Yan, Fei; Zhuang, Yan","Yin, Jun (School of Control Science and Engineering, Dalian University of Technology, Dalian, 116024, China); Luo, Dongting (School of Control Science and Engineering, Dalian University of Technology, Dalian, 116024, China); Yan, Fei (School of Control Science and Engineering, Dalian University of Technology, Dalian, 116024, China); Zhuang, Yan (School of Control Science and Engineering, Dalian University of Technology, Dalian, 116024, China)","Yan, Fei (Dalian University of Technology)","Yin, Jun (Dalian University of Technology); Luo, Dongting (Dalian University of Technology); Yan, Fei (Dalian University of Technology); Zhuang, Yan (Dalian University of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1149417001,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics",
