[裕之-et-al:2022:20] volume number 
[純矢-et-al:2022:3] volume number 
[wang-et-al:2022:05977] volume number pages 
[vödisch-et-al:2022:01578] volume number pages 
[ma-et-al:2022:03397] volume number pages 
[dai-et-al:2022:09215] volume number pages 
[doherty-et-al:2022:13897] volume number pages 
[mathur-et-al:2022:15272] volume number pages 
[ali-et-al:2022:01524] volume number pages 
[zhang-et-al:2022:12173] volume number pages 
[tsintotas-et-al:2022:12831] volume number pages 
[yin-et-al:2022:10737] volume number pages 
[gagyi-et-al:2022:4135967] volume number 
[boche-et-al:2022:00709] volume number pages 
[yin-et-al:2022:14543] volume number pages 
[yin-et-al:2022:04497] volume number pages 
[kruzhkov-et-al:2022:09357] volume number pages 
[soares-et-al:2022:10710] volume number pages 
[zimmerman-et-al:2022:01456] volume number pages 
[chen-et-al:2022:04543] volume number pages 
[yang-et-al:2022:09757] volume number pages 
