"Engineering Village",""
"Search Query","(((robot* OR vehicle*) AND ((locali* AND map*) OR "slam") AND ("long term" OR "life long" OR lifelong)) WN KY)"
"Databases","Inspec"
"Report Generated on","10/25/2022"


"Year","Count"
"2022","28"
"2021","57"
"2020","52"
"2019","74"
"2018","39"
"2017","28"
"2016","32"
"2015","28"
"2014","15"
"2013","28"
"2012","8"
"2011","17"
"2010","10"
"2009","10"
"2008","6"
"2007","3"
"2006","2"
"2005","3"
"2004","4"
"2002","2"
"2001","2"
"2000","1"
"1998","1"
"1997","1"
"1991","1"
"1989","1"
"1988","1"


"Copyright 2022 Elsevier Inc. All rights reserved.",""
