"Engineering Village",""
"Search Query","(((robot* OR vehicle*) AND ((locali* AND map*) OR "slam") AND ("long term" OR "life long" OR lifelong) AND (dynamic* OR mov*)) WN KY)"
"Databases","Inspec"
"Report Generated on","10/25/2022"


"Year","Count"
"2022","5"
"2021","21"
"2020","16"
"2019","11"
"2018","15"
"2017","5"
"2016","10"
"2015","7"
"2014","7"
"2013","7"
"2012","3"
"2011","5"
"2010","4"
"2009","4"
"2008","1"
"2006","1"
"2005","1"
"2002","2"
"2001","1"
"1991","1"
"1989","1"


"Copyright 2022 Elsevier Inc. All rights reserved.",""
